alias_lot_id;wf_id;xcoord;ycoord;val
ABCA341;04;11;25;#
ABCA341;04;11;26;#
ABCA341;04;11;27;#
ABCA341;04;11;28;#
ABCA341;04;11;29;W
ABCA341;04;11;30;#
ABCA341;04;11;31;#
ABCA341;04;11;32;#
ABCA341;04;11;33;#
ABCA341;04;11;34;#
ABCA341;04;11;35;#
ABCA341;04;12;23;#
ABCA341;04;12;24;#
ABCA341;04;12;25;#
ABCA341;04;12;26;#
ABCA341;04;12;27;#
ABCA341;04;12;28;#
ABCA341;04;12;29;#
ABCA341;04;12;30;#
ABCA341;04;12;31;#
ABCA341;04;12;32;#
ABCA341;04;12;33;#
ABCA341;04;12;34;#
ABCA341;04;12;35;#
ABCA341;04;12;36;#
ABCA341;04;12;37;#
ABCA341;04;13;22;#
ABCA341;04;13;23;#
ABCA341;04;13;24;#
ABCA341;04;13;25;#
ABCA341;04;13;26;#
ABCA341;04;13;27;#
ABCA341;04;13;28;#
ABCA341;04;13;29;#
ABCA341;04;13;30;#
ABCA341;04;13;31;#
ABCA341;04;13;32;#
ABCA341;04;13;33;W
ABCA341;04;13;34;W
ABCA341;04;13;35;W
ABCA341;04;13;36;W
ABCA341;04;13;37;W
ABCA341;04;13;38;#
ABCA341;04;14;21;#
ABCA341;04;14;22;#
ABCA341;04;14;23;#
ABCA341;04;14;24;#
ABCA341;04;14;25;#
ABCA341;04;14;26;W
ABCA341;04;14;27;W
ABCA341;04;14;28;W
ABCA341;04;14;29;W
ABCA341;04;14;30;W
ABCA341;04;14;31;#
ABCA341;04;14;32;W
ABCA341;04;14;33;W
ABCA341;04;14;34;#
ABCA341;04;14;35;#
ABCA341;04;14;36;#
ABCA341;04;14;37;#
ABCA341;04;14;38;#
ABCA341;04;14;39;#
ABCA341;04;15;19;#
ABCA341;04;15;20;W
ABCA341;04;15;21;W
ABCA341;04;15;22;W
ABCA341;04;15;23;W
ABCA341;04;15;24;W
ABCA341;04;15;25;#
ABCA341;04;15;26;#
ABCA341;04;15;27;#
ABCA341;04;15;28;#
ABCA341;04;15;29;#
ABCA341;04;15;30;#
ABCA341;04;15;31;#
ABCA341;04;15;32;#
ABCA341;04;15;33;#
ABCA341;04;15;34;#
ABCA341;04;15;35;#
ABCA341;04;15;36;#
ABCA341;04;15;37;#
ABCA341;04;15;38;#
ABCA341;04;15;39;#
ABCA341;04;15;40;#
ABCA341;04;15;41;#
ABCA341;04;16;18;W
ABCA341;04;16;19;#
ABCA341;04;16;20;W
ABCA341;04;16;21;#
ABCA341;04;16;22;#
ABCA341;04;16;23;#
ABCA341;04;16;24;#
ABCA341;04;16;25;#
ABCA341;04;16;26;#
ABCA341;04;16;27;#
ABCA341;04;16;28;#
ABCA341;04;16;29;#
ABCA341;04;16;30;#
ABCA341;04;16;31;#
ABCA341;04;16;32;#
ABCA341;04;16;33;#
ABCA341;04;16;34;#
ABCA341;04;16;35;#
ABCA341;04;16;36;#
ABCA341;04;16;37;#
ABCA341;04;16;38;#
ABCA341;04;16;39;#
ABCA341;04;16;40;W
ABCA341;04;16;41;#
ABCA341;04;16;42;W
ABCA341;04;17;18;#
ABCA341;04;17;19;#
ABCA341;04;17;20;#
ABCA341;04;17;21;#
ABCA341;04;17;22;#
ABCA341;04;17;23;#
ABCA341;04;17;24;#
ABCA341;04;17;25;#
ABCA341;04;17;26;#
ABCA341;04;17;27;#
ABCA341;04;17;28;#
ABCA341;04;17;29;#
ABCA341;04;17;30;#
ABCA341;04;17;31;#
ABCA341;04;17;32;#
ABCA341;04;17;33;#
ABCA341;04;17;34;W
ABCA341;04;17;35;#
ABCA341;04;17;36;#
ABCA341;04;17;37;#
ABCA341;04;17;38;#
ABCA341;04;17;39;#
ABCA341;04;17;40;#
ABCA341;04;17;41;#
ABCA341;04;17;42;#
ABCA341;04;18;17;#
ABCA341;04;18;18;#
ABCA341;04;18;19;#
ABCA341;04;18;20;#
ABCA341;04;18;21;#
ABCA341;04;18;22;#
ABCA341;04;18;23;#
ABCA341;04;18;24;W
ABCA341;04;18;25;#
ABCA341;04;18;26;#
ABCA341;04;18;27;#
ABCA341;04;18;28;#
ABCA341;04;18;29;#
ABCA341;04;18;30;#
ABCA341;04;18;31;#
ABCA341;04;18;32;#
ABCA341;04;18;33;#
ABCA341;04;18;34;#
ABCA341;04;18;35;#
ABCA341;04;18;36;#
ABCA341;04;18;37;#
ABCA341;04;18;38;#
ABCA341;04;18;39;#
ABCA341;04;18;40;#
ABCA341;04;18;41;#
ABCA341;04;18;42;#
ABCA341;04;18;43;#
ABCA341;04;19;16;#
ABCA341;04;19;17;#
ABCA341;04;19;18;W
ABCA341;04;19;19;#
ABCA341;04;19;20;#
ABCA341;04;19;21;#
ABCA341;04;19;22;#
ABCA341;04;19;23;#
ABCA341;04;19;24;#
ABCA341;04;19;25;#
ABCA341;04;19;26;#
ABCA341;04;19;27;#
ABCA341;04;19;28;#
ABCA341;04;19;29;#
ABCA341;04;19;30;#
ABCA341;04;19;31;#
ABCA341;04;19;32;#
ABCA341;04;19;33;#
ABCA341;04;19;34;#
ABCA341;04;19;35;#
ABCA341;04;19;36;#
ABCA341;04;19;37;W
ABCA341;04;19;38;#
ABCA341;04;19;39;#
ABCA341;04;19;40;#
ABCA341;04;19;41;#
ABCA341;04;19;42;#
ABCA341;04;19;43;#
ABCA341;04;19;44;#
ABCA341;04;20;16;W
ABCA341;04;20;17;#
ABCA341;04;20;18;#
ABCA341;04;20;19;#
ABCA341;04;20;20;#
ABCA341;04;20;21;#
ABCA341;04;20;22;#
ABCA341;04;20;23;#
ABCA341;04;20;24;#
ABCA341;04;20;25;#
ABCA341;04;20;26;#
ABCA341;04;20;27;#
ABCA341;04;20;28;#
ABCA341;04;20;29;#
ABCA341;04;20;30;#
ABCA341;04;20;31;#
ABCA341;04;20;32;#
ABCA341;04;20;33;#
ABCA341;04;20;34;#
ABCA341;04;20;35;#
ABCA341;04;20;36;#
ABCA341;04;20;37;#
ABCA341;04;20;38;#
ABCA341;04;20;39;#
ABCA341;04;20;40;#
ABCA341;04;20;41;#
ABCA341;04;20;42;#
ABCA341;04;20;43;#
ABCA341;04;20;44;#
ABCA341;04;21;15;#
ABCA341;04;21;16;#
ABCA341;04;21;17;#
ABCA341;04;21;18;#
ABCA341;04;21;19;#
ABCA341;04;21;20;#
ABCA341;04;21;21;W
ABCA341;04;21;22;#
ABCA341;04;21;23;#
ABCA341;04;21;24;#
ABCA341;04;21;25;#
ABCA341;04;21;26;#
ABCA341;04;21;27;#
ABCA341;04;21;28;#
ABCA341;04;21;29;#
ABCA341;04;21;30;#
ABCA341;04;21;31;#
ABCA341;04;21;32;#
ABCA341;04;21;33;#
ABCA341;04;21;34;#
ABCA341;04;21;35;#
ABCA341;04;21;36;#
ABCA341;04;21;37;#
ABCA341;04;21;38;#
ABCA341;04;21;39;#
ABCA341;04;21;40;#
ABCA341;04;21;41;#
ABCA341;04;21;42;#
ABCA341;04;21;43;#
ABCA341;04;21;44;#
ABCA341;04;21;45;#
ABCA341;04;22;14;#
ABCA341;04;22;15;#
ABCA341;04;22;16;#
ABCA341;04;22;17;#
ABCA341;04;22;18;#
ABCA341;04;22;19;#
ABCA341;04;22;20;#
ABCA341;04;22;21;#
ABCA341;04;22;22;#
ABCA341;04;22;23;#
ABCA341;04;22;24;#
